model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.561295,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.159649,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.311662,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.146313,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.01286,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,dependency_depth,0.055349,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.12802,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.514513,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.735626,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.06822,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,extra_entity_count,0.178048,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,register_score,-0.055107,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,translationese_score,-0.079107,0.651667,0.045539,600
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,0.023384,0.651667,0.045539,600
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.68024,0.723333,0.302238,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.27235,0.723333,0.302238,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.038437,0.723333,0.302238,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.527269,0.723333,0.302238,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.136713,0.723333,0.302238,600
deepseek__deepseek-v4-flash,dependency_depth,0.139794,0.723333,0.302238,600
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.213633,0.723333,0.302238,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.031278,0.723333,0.302238,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.94059,0.723333,0.302238,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.357845,0.723333,0.302238,600
deepseek__deepseek-v4-flash,extra_entity_count,0.05748,0.723333,0.302238,600
deepseek__deepseek-v4-flash,register_score,0.062266,0.723333,0.302238,600
deepseek__deepseek-v4-flash,translationese_score,-0.100528,0.723333,0.302238,600
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.396713,0.723333,0.302238,600
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.606944,0.705,-0.371229,600
google__gemini-3-flash-preview,bidirectional_entailment,-0.104259,0.705,-0.371229,600
google__gemini-3-flash-preview,nli_boundary_risk,0.044471,0.705,-0.371229,600
google__gemini-3-flash-preview,nli_omission_risk,-0.112738,0.705,-0.371229,600
google__gemini-3-flash-preview,nli_contradiction_risk,0.260152,0.705,-0.371229,600
google__gemini-3-flash-preview,dependency_depth,0.285425,0.705,-0.371229,600
google__gemini-3-flash-preview,mean_dependency_distance,0.131913,0.705,-0.371229,600
google__gemini-3-flash-preview,normalized_dependency_distance,-0.259671,0.705,-0.371229,600
google__gemini-3-flash-preview,sentence_compression_ratio,-0.810598,0.705,-0.371229,600
google__gemini-3-flash-preview,extra_number_ratio,-0.078484,0.705,-0.371229,600
google__gemini-3-flash-preview,extra_entity_count,0.314216,0.705,-0.371229,600
google__gemini-3-flash-preview,register_score,-0.099072,0.705,-0.371229,600
google__gemini-3-flash-preview,translationese_score,-0.102842,0.705,-0.371229,600
google__gemini-3-flash-preview,target_lm_naturalness_score,-0.157808,0.705,-0.371229,600
moonshotai__kimi-k2.5,crosslingual_embedding_similarity,0.602474,0.7,0.543693,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.147756,0.7,0.543693,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.269105,0.7,0.543693,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.113311,0.7,0.543693,600
moonshotai__kimi-k2.5,nli_contradiction_risk,0.137806,0.7,0.543693,600
moonshotai__kimi-k2.5,dependency_depth,0.212387,0.7,0.543693,600
moonshotai__kimi-k2.5,mean_dependency_distance,0.126884,0.7,0.543693,600
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.247298,0.7,0.543693,600
moonshotai__kimi-k2.5,sentence_compression_ratio,-0.851797,0.7,0.543693,600
moonshotai__kimi-k2.5,extra_number_ratio,-0.047862,0.7,0.543693,600
moonshotai__kimi-k2.5,extra_entity_count,0.358657,0.7,0.543693,600
moonshotai__kimi-k2.5,register_score,0.103254,0.7,0.543693,600
moonshotai__kimi-k2.5,translationese_score,-0.136361,0.7,0.543693,600
moonshotai__kimi-k2.5,target_lm_naturalness_score,-0.179109,0.7,0.543693,600
openai__gpt-5.2,crosslingual_embedding_similarity,0.794995,0.73,0.1006,600
openai__gpt-5.2,bidirectional_entailment,0.111001,0.73,0.1006,600
openai__gpt-5.2,nli_boundary_risk,0.14051,0.73,0.1006,600
openai__gpt-5.2,nli_omission_risk,-0.051228,0.73,0.1006,600
openai__gpt-5.2,nli_contradiction_risk,0.064393,0.73,0.1006,600
openai__gpt-5.2,dependency_depth,0.059593,0.73,0.1006,600
openai__gpt-5.2,mean_dependency_distance,-0.278293,0.73,0.1006,600
openai__gpt-5.2,normalized_dependency_distance,-0.079745,0.73,0.1006,600
openai__gpt-5.2,sentence_compression_ratio,-0.853918,0.73,0.1006,600
openai__gpt-5.2,extra_number_ratio,-0.245509,0.73,0.1006,600
openai__gpt-5.2,extra_entity_count,0.18988,0.73,0.1006,600
openai__gpt-5.2,register_score,0.125508,0.73,0.1006,600
openai__gpt-5.2,translationese_score,-0.11911,0.73,0.1006,600
openai__gpt-5.2,target_lm_naturalness_score,0.148367,0.73,0.1006,600
