feature,backward_contradiction,backward_entailment,backward_neutral,bidirectional_entailment,clause_count,coordination_count,crosslingual_embedding_similarity,dependency_depth,extra_entity_count,extra_number_count,extra_number_ratio,financial_register_score,forward_contradiction,forward_entailment,forward_neutral,max_dependency_distance,mean_dependency_distance,modifier_density,nli_boundary_risk,nli_contradiction_risk,nli_omission_risk,nominalization_ratio,normalized_dependency_distance,passive_or_beishi_count,register_score,semantic_fidelity_score,sentence_compression_ratio,statistical_register_score,translationese_score
backward_contradiction,1.0000,-0.5024,0.1242,-0.4969,-0.1364,-0.0869,-0.1590,0.0176,-0.0096,0.0579,0.0258,-0.0648,0.3896,-0.3508,0.1833,0.0207,0.0491,0.0262,0.3508,0.9123,0.5024,0.1182,0.0601,-0.1142,-0.0195,-0.7720,0.0084,0.0376,-0.0540
backward_entailment,-0.5024,1.0000,-0.9203,0.9624,0.1924,0.0429,0.3597,0.0496,0.1198,-0.0016,0.0458,0.1024,-0.2841,0.3320,-0.2408,0.0757,0.0116,0.0470,-0.3320,-0.4995,-1.0000,-0.1703,-0.1886,0.1019,0.0777,0.8189,0.1768,0.0066,0.1443
backward_neutral,0.1242,-0.9203,1.0000,-0.8796,-0.1591,-0.0099,-0.3408,-0.0649,-0.1332,-0.0244,-0.0642,-0.0882,0.1498,-0.2223,0.1934,-0.0962,-0.0355,-0.0658,0.2223,0.1606,0.9203,0.1420,0.1893,-0.0652,-0.0804,-0.5905,-0.2067,-0.0246,-0.1412
bidirectional_entailment,-0.4969,0.9624,-0.8796,1.0000,0.1926,0.0319,0.3271,0.0491,0.1349,-0.0333,0.0314,0.1008,-0.3975,0.5327,-0.4329,0.0845,0.0202,0.0675,-0.5327,-0.5512,-0.9624,-0.1786,-0.1704,0.1071,0.0650,0.8777,0.1712,-0.0097,0.1555
clause_count,-0.1364,0.1924,-0.1591,0.1926,1.0000,0.3263,0.2827,0.1681,0.1205,-0.1441,-0.0484,0.1353,-0.1188,0.1130,-0.0645,0.1510,0.0093,-0.3936,-0.1130,-0.1523,-0.1924,-0.3054,-0.4171,0.2730,-0.0002,0.1970,0.4379,-0.1361,0.0399
coordination_count,-0.0869,0.0429,-0.0099,0.0319,0.3263,1.0000,-0.0116,0.1935,0.0003,-0.1006,-0.0458,0.0204,-0.0627,0.0281,0.0103,0.1925,0.1846,-0.1461,-0.0281,-0.0846,-0.0429,0.1738,0.0546,0.0833,-0.0440,0.0686,0.1655,-0.0825,0.0084
crosslingual_embedding_similarity,-0.1590,0.3597,-0.3408,0.3271,0.2827,-0.0116,1.0000,-0.0678,-0.0128,-0.1109,-0.0435,0.0969,-0.0749,0.0611,-0.0264,-0.1162,-0.2068,0.0071,-0.0611,-0.1539,-0.3597,-0.2297,-0.4175,0.2056,0.1090,0.2670,0.1687,0.0562,0.0456
dependency_depth,0.0176,0.0496,-0.0649,0.0491,0.1681,0.1935,-0.0678,1.0000,0.0220,-0.0637,-0.0319,-0.0003,0.0588,-0.0090,-0.0342,0.3511,0.3317,-0.1044,0.0090,0.0274,-0.0496,-0.0259,0.1385,0.1035,-0.1044,0.0093,0.1412,-0.1466,0.2059
extra_entity_count,-0.0096,0.1198,-0.1332,0.1349,0.1205,0.0003,-0.0128,0.0220,1.0000,-0.0531,0.0214,0.2506,-0.0598,0.0992,-0.0919,0.0524,-0.0012,0.1177,-0.0992,-0.0340,-0.1198,-0.0154,-0.1134,0.0179,0.1477,0.1016,0.2111,-0.0438,0.2220
extra_number_count,0.0579,-0.0016,-0.0244,-0.0333,-0.1441,-0.1006,-0.1109,-0.0637,-0.0531,1.0000,0.7161,0.0171,0.0560,-0.1132,0.1147,-0.0805,-0.1496,0.0651,0.1132,0.0660,0.0016,0.0661,-0.1641,-0.1802,0.1935,-0.0619,-0.2769,0.2553,-0.0582
extra_number_ratio,0.0258,0.0458,-0.0642,0.0314,-0.0484,-0.0458,-0.0435,-0.0319,0.0214,0.7161,1.0000,0.0458,0.0535,-0.0656,0.0497,-0.0951,-0.1375,0.0537,0.0656,0.0355,-0.0458,0.0387,-0.1413,-0.0784,0.1102,-0.0114,-0.1437,0.1091,0.0223
financial_register_score,-0.0648,0.1024,-0.0882,0.1008,0.1353,0.0204,0.0969,-0.0003,0.2506,0.0171,0.0458,1.0000,0.0082,0.0388,-0.0611,0.0509,-0.0178,0.0083,-0.0388,-0.0387,-0.1024,0.0258,-0.0513,-0.0466,0.7040,0.0793,0.2214,-0.0130,0.1269
forward_contradiction,0.3896,-0.2841,0.1498,-0.3975,-0.1188,-0.0627,-0.0749,0.0588,-0.0598,0.0560,0.0535,0.0082,1.0000,-0.7195,0.2164,-0.0306,-0.0340,-0.1278,0.7195,0.7134,0.2841,0.0960,0.0581,-0.0795,0.0097,-0.6675,0.0199,0.0054,-0.0272
forward_entailment,-0.3508,0.3320,-0.2223,0.5327,0.1130,0.0281,0.0611,-0.0090,0.0992,-0.1132,-0.0656,0.0388,-0.7195,1.0000,-0.8337,0.0634,0.0667,0.1135,-1.0000,-0.5674,-0.3320,-0.1009,-0.0131,0.0824,-0.0207,0.6966,-0.0090,-0.0682,0.0777
forward_neutral,0.1833,-0.2408,0.1934,-0.4329,-0.0645,0.0103,-0.0264,-0.0342,-0.0919,0.1147,0.0497,-0.0611,0.2164,-0.8337,1.0000,-0.0648,-0.0667,-0.0580,0.8337,0.2305,0.2408,0.0655,-0.0278,-0.0527,0.0215,-0.4485,-0.0031,0.0916,-0.0876
max_dependency_distance,0.0207,0.0757,-0.0962,0.0845,0.1510,0.1925,-0.1162,0.3511,0.0524,-0.0805,-0.0951,0.0509,-0.0306,0.0634,-0.0648,1.0000,0.7266,-0.0542,-0.0634,0.0022,-0.0757,-0.0128,0.3387,0.1475,0.0086,0.0532,0.0939,-0.0390,0.1720
mean_dependency_distance,0.0491,0.0116,-0.0355,0.0202,0.0093,0.1846,-0.2068,0.3317,-0.0012,-0.1496,-0.1375,-0.0178,-0.0340,0.0667,-0.0667,0.7266,1.0000,-0.0079,-0.0667,0.0283,-0.0116,0.1145,0.6793,0.0577,-0.0773,0.0100,-0.0101,-0.0909,0.0584
modifier_density,0.0262,0.0470,-0.0658,0.0675,-0.3936,-0.1461,0.0071,-0.1044,0.1177,0.0651,0.0537,0.0083,-0.1278,0.1135,-0.0580,-0.0542,-0.0079,1.0000,-0.1135,-0.0382,-0.0470,0.2650,-0.0024,-0.1083,0.1095,0.0713,0.0015,0.1459,0.1908
nli_boundary_risk,0.3508,-0.3320,0.2223,-0.5327,-0.1130,-0.0281,-0.0611,0.0090,-0.0992,0.1132,0.0656,-0.0388,0.7195,-1.0000,0.8337,-0.0634,-0.0667,-0.1135,1.0000,0.5674,0.3320,0.1009,0.0131,-0.0824,0.0207,-0.6966,0.0090,0.0682,-0.0777
nli_contradiction_risk,0.9123,-0.4995,0.1606,-0.5512,-0.1523,-0.0846,-0.1539,0.0274,-0.0340,0.0660,0.0355,-0.0387,0.7134,-0.5674,0.2305,0.0022,0.0283,-0.0382,0.5674,1.0000,0.4995,0.1330,0.0716,-0.1223,0.0001,-0.8693,0.0058,0.0390,-0.0566
nli_omission_risk,0.5024,-1.0000,0.9203,-0.9624,-0.1924,-0.0429,-0.3597,-0.0496,-0.1198,0.0016,-0.0458,-0.1024,0.2841,-0.3320,0.2408,-0.0757,-0.0116,-0.0470,0.3320,0.4995,1.0000,0.1703,0.1886,-0.1019,-0.0777,-0.8189,-0.1768,-0.0066,-0.1443
nominalization_ratio,0.1182,-0.1703,0.1420,-0.1786,-0.3054,0.1738,-0.2297,-0.0259,-0.0154,0.0661,0.0387,0.0258,0.0960,-0.1009,0.0655,-0.0128,0.1145,0.2650,0.1009,0.1330,0.1703,1.0000,0.2509,-0.1989,0.0382,-0.1738,-0.0916,0.0279,-0.0811
normalized_dependency_distance,0.0601,-0.1886,0.1893,-0.1704,-0.4171,0.0546,-0.4175,0.1385,-0.1134,-0.1641,-0.1413,-0.0513,0.0581,-0.0131,-0.0278,0.3387,0.6793,-0.0024,0.0131,0.0716,0.1886,0.2509,1.0000,-0.1509,-0.0716,-0.1307,-0.3548,-0.0493,-0.0994
passive_or_beishi_count,-0.1142,0.1019,-0.0652,0.1071,0.2730,0.0833,0.2056,0.1035,0.0179,-0.1802,-0.0784,-0.0466,-0.0795,0.0824,-0.0527,0.1475,0.0577,-0.1083,-0.0824,-0.1223,-0.1019,-0.1989,-0.1509,1.0000,-0.1361,0.1299,0.2282,-0.1448,0.2617
register_score,-0.0195,0.0777,-0.0804,0.0650,-0.0002,-0.0440,0.1090,-0.1044,0.1477,0.1935,0.1102,0.7040,0.0097,-0.0207,0.0215,0.0086,-0.0773,0.1095,0.0207,0.0001,-0.0777,0.0382,-0.0716,-0.1361,1.0000,0.0330,0.0186,0.7010,-0.0224
semantic_fidelity_score,-0.7720,0.8189,-0.5905,0.8777,0.1970,0.0686,0.2670,0.0093,0.1016,-0.0619,-0.0114,0.0793,-0.6675,0.6966,-0.4485,0.0532,0.0100,0.0713,-0.6966,-0.8693,-0.8189,-0.1738,-0.1307,0.1299,0.0330,1.0000,0.0825,-0.0332,0.1187
sentence_compression_ratio,0.0084,0.1768,-0.2067,0.1712,0.4379,0.1655,0.1687,0.1412,0.2111,-0.2769,-0.1437,0.2214,0.0199,-0.0090,-0.0031,0.0939,-0.0101,0.0015,0.0090,0.0058,-0.1768,-0.0916,-0.3548,0.2282,0.0186,0.0825,1.0000,-0.1962,0.3145
statistical_register_score,0.0376,0.0066,-0.0246,-0.0097,-0.1361,-0.0825,0.0562,-0.1466,-0.0438,0.2553,0.1091,-0.0130,0.0054,-0.0682,0.0916,-0.0390,-0.0909,0.1459,0.0682,0.0390,-0.0066,0.0279,-0.0493,-0.1448,0.7010,-0.0332,-0.1962,1.0000,-0.1589
translationese_score,-0.0540,0.1443,-0.1412,0.1555,0.0399,0.0084,0.0456,0.2059,0.2220,-0.0582,0.0223,0.1269,-0.0272,0.0777,-0.0876,0.1720,0.0584,0.1908,-0.0777,-0.0566,-0.1443,-0.0811,-0.0994,0.2617,-0.0224,0.1187,0.3145,-0.1589,1.0000
